,Date,Time,Vrms ph-n AN Avg,Vrms ph-n BN Avg,Vrms ph-n CN Avg,Vrms ph-n NG Avg,Current A Avg,Current B Avg,Current C Avg,Current Phi AN Avg,Current Phi BN Avg,Current Phi CN Avg,Active Power Total Avg,Apparent Power Total Avg,Reactive Power Total Avg,Cos Phi AN Avg,Cos Phi BN Avg,Cos Phi CN Avg,Cos Phi Total Avg
0,2019-08-31,3:21:43 PM.135,242.58,241.98,242.12,0.46,596.0,544.7,496.3,-7.74,-135.9,-248.54,389550,397650,73050,0.99,0.96,0.99,0.98
1,2019-08-31,3:22:13 PM.135,242.98,242.34,242.72,0.48,612.5,541.1,494.8,-18.12,-129.9,-240.3,397800,401550,26400,1.0,0.98,1.0,1.0
2,2019-08-31,3:22:43 PM.135,243.04,242.18,242.78,0.54,628.3,558.3,508.8,-291.9,-128.06,-238.58,408300,412950,13500,1.0,0.99,1.0,1.0
3,2019-08-31,3:23:13 PM.135,242.92,242.06,242.7,0.56,640.2,562.5,510.5,-359.42,-128.7,-238.82,412050,417300,16350,1.0,0.99,1.0,1.0
4,2019-08-31,3:23:43 PM.135,242.52,241.62,242.2,0.54,652.7,587.6,533.5,-167.08,-130.62,-242.02,424650,430650,35100,1.0,0.98,1.0,1.0
5,2019-08-31,3:24:13 PM.135,242.58,241.62,242.22,0.54,656.8,595.0,546.1,-1.78,-130.56,-242.66,431250,436500,37200,1.0,0.98,1.0,1.0
6,2019-08-31,3:24:43 PM.135,242.4,241.38,242.08,0.54,659.5,588.8,542.2,-1.72,-130.54,-242.2,429150,434550,35850,1.0,0.98,1.0,1.0
7,2019-08-31,3:25:13 PM.135,242.28,241.18,241.98,0.54,652.2,575.6,532.5,-1.3,-130.02,-241.4,421800,427200,31050,1.0,0.98,1.0,1.0
8,2019-08-31,3:25:43 PM.135,242.54,241.28,242.18,0.54,648.3,574.9,531.1,-1.04,-129.9,-241.14,420750,426000,29400,1.0,0.99,1.0,1.0
9,2019-08-31,3:26:13 PM.135,242.56,241.64,242.22,0.54,663.5,586.5,543.0,-1.1,-129.98,-241.5,430500,435600,31050,1.0,0.98,1.0,1.0
10,2019-08-31,3:26:43 PM.135,242.26,241.42,241.92,0.54,659.5,586.7,540.7,-0.84,-129.82,-241.38,428550,433650,29400,1.0,0.99,1.0,1.0
11,2019-08-31,3:27:13 PM.135,242.36,241.48,242.0,0.52,648.9,582.9,536.1,-0.64,-129.5,-241.26,424200,429000,27600,1.0,0.99,1.0,1.0
12,2019-08-31,3:27:43 PM.135,242.58,241.78,242.28,0.52,648.2,582.8,536.3,-0.46,-129.02,-240.84,424650,429300,25050,1.0,0.99,1.0,1.0
13,2019-08-31,3:28:13 PM.135,242.6,241.66,242.22,0.54,651.5,584.8,539.0,-0.64,-129.22,-240.96,426450,431250,26400,1.0,0.99,1.0,1.0
14,2019-08-31,3:28:43 PM.135,242.46,241.36,242.0,0.54,643.0,578.6,534.1,-0.66,-129.38,-241.04,421200,426000,26700,1.0,0.99,1.0,1.0
15,2019-08-31,3:29:13 PM.135,242.52,241.62,242.12,0.54,660.7,599.7,555.7,-0.78,-129.3,-241.4,435450,440100,28650,1.0,0.99,1.0,1.0
16,2019-08-31,3:29:43 PM.135,241.3,240.4,240.94,0.52,801.0,748.8,701.2,-2.04,-128.86,-242.88,539250,542850,42450,1.0,0.99,1.0,1.0
17,2019-08-31,3:30:13 PM.135,241.38,240.44,241.08,0.52,799.4,748.9,702.3,-1.94,-128.7,-242.52,539550,543150,40650,1.0,0.99,1.0,1.0
18,2019-08-31,3:30:43 PM.135,241.14,240.2,240.8,0.52,797.9,748.2,702.0,-1.76,-128.54,-242.4,538350,541800,39000,1.0,0.99,1.0,1.0
19,2019-08-31,3:31:13 PM.135,241.42,240.46,241.08,0.52,798.6,743.3,699.6,-1.8,-128.46,-242.28,537450,540900,38550,1.0,0.99,1.0,1.0
20,2019-08-31,3:31:43 PM.135,241.44,240.4,241.08,0.52,805.3,745.7,704.0,-1.88,-128.5,-242.34,540750,544200,39450,1.0,0.99,1.0,1.0
